ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
151009A,HPT09,Source,171.284,37.759,4.537519049,9.562480951,3.84E-06,3.18E-06,2.03E-06,0,,-5.692122754
151009A,HPT09,Source,171.284,37.759,4.552758305,9.547241695,3.48E-06,2.58E-06,1.99E-06,0,,-5.701520018
151009A,HPT09,Source,171.284,37.759,4.567997562,9.532002438,3.62E-06,2.80E-06,1.99E-06,0,,-5.702044211
151009A,HPT09,Source,171.284,37.759,4.583236818,9.516763182,3.64E-06,2.83E-06,1.94E-06,0,,-5.713236848
151009A,HPT09,Source,171.284,37.759,4.598476074,9.501523926,3.31E-06,2.31E-06,1.81E-06,0,,-5.743373411
151009A,HPT09,Source,171.284,37.759,4.613715331,9.486284669,3.26E-06,2.24E-06,1.73E-06,0,,-5.761366232
151009A,HPT09,Source,171.284,37.759,4.628954587,9.471045413,3.21E-06,2.16E-06,1.70E-06,0,,-5.769027186
151009A,HPT09,Source,171.284,37.759,4.644193843,9.455806157,3.24E-06,2.20E-06,1.73E-06,0,,-5.762928389
151009A,HPT09,Source,171.284,37.759,4.6594331,9.4405669,3.48E-06,2.57E-06,1.80E-06,0,,-5.743857215
151009A,HPT09,Source,171.284,37.759,4.674672356,9.425327644,3.42E-06,2.48E-06,1.83E-06,0,,-5.737833551
151009A,HPT09,Source,171.284,37.759,4.689911612,9.410088388,3.33E-06,2.35E-06,1.85E-06,0,,-5.732787917
151009A,HPT09,Source,171.284,37.759,4.705150869,9.394849131,3.53E-06,2.66E-06,1.93E-06,0,,-5.713437493
151009A,HPT09,Source,171.284,37.759,4.720390125,9.379609875,3.73E-06,2.99E-06,2.00E-06,0,,-5.698867781
151009A,HPT09,Source,171.284,37.759,4.735629381,9.364370619,3.45E-06,2.53E-06,1.96E-06,0,,-5.708155603
151009A,HPT09,Source,171.284,37.759,4.750868638,9.349131362,3.52E-06,2.65E-06,1.96E-06,0,,-5.707873746
151009A,HPT09,Source,171.284,37.759,4.766107894,9.333892106,3.53E-06,2.65E-06,1.96E-06,0,,-5.707920215
151009A,HPT09,Source,171.284,37.759,4.78134715,9.31865285,3.47E-06,2.56E-06,1.96E-06,0,,-5.708698471
151009A,HPT09,Source,171.284,37.759,4.796586407,9.303413593,3.49E-06,2.59E-06,1.98E-06,0,,-5.702729528
151009A,HPT09,Source,171.284,37.759,4.811825663,9.288174337,3.67E-06,2.89E-06,2.05E-06,0,,-5.689193872
151009A,HPT09,Source,171.284,37.759,4.827064919,9.272935081,3.67E-06,2.89E-06,2.06E-06,0,,-5.686644129
151009A,HPT09,Source,171.284,37.759,4.842304176,9.257695824,3.55E-06,2.69E-06,2.03E-06,0,,-5.69348557
151009A,HPT09,Source,171.284,37.759,4.857543432,9.242456568,3.52E-06,2.64E-06,2.01E-06,0,,-5.696916496
151009A,HPT09,Source,171.284,37.759,4.872782688,9.227217312,3.55E-06,2.68E-06,2.02E-06,0,,-5.694196944
151009A,HPT09,Source,171.284,37.759,4.888021945,9.211978055,3.63E-06,2.82E-06,2.05E-06,0,,-5.687927469
151009A,HPT09,Source,171.284,37.759,4.903261201,9.196738799,3.62E-06,2.80E-06,2.06E-06,0,,-5.686099089
151009A,HPT09,Source,171.284,37.759,4.918500457,9.181499543,3.50E-06,2.61E-06,2.06E-06,0,,-5.686077374
151009A,HPT09,Source,171.284,37.759,4.933739714,9.166260286,3.61E-06,2.79E-06,2.13E-06,0,,-5.672070509
151009A,HPT09,Source,171.284,37.759,4.94897897,9.15102103,3.59E-06,2.76E-06,2.23E-06,0,,-5.651388103
151009A,HPT09,Source,171.284,37.759,4.964218226,9.135781774,3.34E-06,2.36E-06,2.45E-06,0,,-5.61105778
151009A,HPT09,Source,171.284,37.759,4.979457482,9.120542518,4.73E-06,4.98E-06,3.21E-06,0,,-5.493729217
151009A,HPT09,Source,171.284,37.759,4.994696739,9.105303261,5.12E-06,5.92E-06,3.89E-06,0,,-5.409764025
151009A,HPT09,Source,171.284,37.759,5.009935995,9.090064005,5.25E-06,6.24E-06,4.42E-06,0,,-5.354438382
151009A,HPT09,Source,171.284,37.759,5.025175251,9.074824749,5.61E-06,7.21E-06,4.89E-06,0,,-5.31079005
151009A,HPT09,Source,171.284,37.759,5.040414508,9.059585492,5.54E-06,7.01E-06,5.14E-06,0,,-5.289093566
151009A,HPT09,Source,171.284,37.759,5.055653764,9.044346236,5.66E-06,7.35E-06,5.36E-06,0,,-5.271183696
151009A,HPT09,Source,171.284,37.759,5.07089302,9.02910698,5.79E-06,7.74E-06,5.51E-06,0,,-5.258596104
151009A,HPT09,Source,171.284,37.759,5.086132277,9.013867723,5.76E-06,7.64E-06,5.54E-06,0,,-5.256445912
151009A,HPT09,Source,171.284,37.759,5.101371533,8.998628467,5.48E-06,6.87E-06,5.49E-06,0,,-5.260652054
151009A,HPT09,Source,171.284,37.759,5.116610789,8.983389211,5.85E-06,7.88E-06,5.64E-06,0,,-5.248869645
151009A,HPT09,Source,171.284,37.759,5.131850046,8.968149954,5.74E-06,7.58E-06,5.67E-06,0,,-5.24670903
151009A,HPT09,Source,171.284,37.759,5.147089302,8.952910698,5.90E-06,8.03E-06,5.70E-06,0,,-5.244099789
151009A,HPT09,Source,171.284,37.759,5.162328558,8.937671442,5.78E-06,7.69E-06,5.59E-06,0,,-5.252917704
151009A,HPT09,Source,171.284,37.759,5.177567815,8.922432185,5.63E-06,7.28E-06,5.40E-06,0,,-5.26772758
151009A,HPT09,Source,171.284,37.759,5.192807071,8.907192929,5.31E-06,6.40E-06,5.20E-06,0,,-5.283675308
151009A,HPT09,Source,171.284,37.759,5.208046327,8.891953673,5.63E-06,7.26E-06,5.25E-06,0,,-5.279713239
151009A,HPT09,Source,171.284,37.759,5.223285584,8.876714416,5.42E-06,6.69E-06,5.22E-06,0,,-5.282717254
151009A,HPT09,Source,171.284,37.759,5.23852484,8.86147516,5.71E-06,7.51E-06,5.31E-06,0,,-5.27527779
151009A,HPT09,Source,171.284,37.759,5.253764096,8.846235904,5.64E-06,7.29E-06,5.25E-06,0,,-5.280185317
151009A,HPT09,Source,171.284,37.759,5.269003353,8.830996647,5.44E-06,6.75E-06,5.09E-06,0,,-5.293254541
151009A,HPT09,Source,171.284,37.759,5.284242609,8.815757391,5.74E-06,7.57E-06,4.97E-06,0,,-5.303539069
